timestamp,supply
1314659110,7155100
1314931015,7177800
1315201608,7200500
1315478572,7223600
1315763888,7246550
1316052199,7269500
1316339996,7292950
1316619008,7315450
1316906751,7338250
1317195922,7361050
1317493687,7383700
1317802110,7406750
1318108479,7429950
1318439759,7452700
1318762406,7475450
1319085753,7498300
1319442665,7520900
1319771206,7543400
1320107371,7565950
1320381457,7588400
1320660938,7611650
1320935552,7635700
1321232699,7658900
1321503421,7681550
1321795164,7704150
1322099263,7727650
1322425045,7750300
1322715427,7774150
1322986571,7799000
1323260833,7823750
1323521478,7846750
1323816964,7869650
1324119617,7892900
1324393481,7916250
1324676461,7940100
1324934812,7964300
1325222670,7988300
1325491752,8011600
1325763882,8035850
1325994451,8058950
1326269227,8083300
1326552257,8108000
1326819635,8132250
1327102709,8155450
1327364106,8179100
1327663906,8203200
1327916932,8226700
1328182760,8249750
1328439327,8273250
1328722189,8296250
1328996239,8319200
1329277621,8342250
1329554802,8365200
1329814278,8388450
1330078206,8411350
1330334151,8435300
1330581463,8458800
1330882955,8481800
1331164520,8505350
1331417698,8529150
1331689351,8553250
1331978662,8576650
1332236841,8600650
1332516562,8624800
1332776947,8649400
1333056132,8673350
1333325764,8697400
1333645515,8721050
1333945261,8744650
1334236335,8768800
1334556860,8792150
1334847111,8815250
1335134196,8840500
1335435224,8864550
1335711751,8888650
1335952358,8912250
1336205573,8935450
1336447163,8959300
1336720110,8982900
1337012870,9006400
1337321300,9029500
1337606869,9052200
1337929113,9075300
1338210619,9098500
1338517097,9122200
1338778026,9145600
1339050225,9169350
1339319376,9193000
1339583928,9216900
1339854007,9240900
1340100703,9265350
1340406990,9289050
1340671540,9312150
1340943785,9335700
1341226831,9358800
1341497969,9382550
1341756435,9406250
1342025847,9430000
1342301828,9454400
1342569760,9478550
1342852180,9501950
1343124840,9525700
1343390329,9550900
1343641803,9575600
1343934938,9600250
1344205457,9624300
1344469218,9648050
1344720443,9672000
1344984193,9696500
1345260255,9720450
1345504997,9744800
1345758161,9768850
1346026493,9793000
1346295261,9817400
1346580524,9842200
1346834984,9865900
1347086848,9890950
1347365164,9915150
1347661915,9940450
1347937825,9965650
1348217582,9990550
1348489898,10015700
1348773245,10040000
1349056369,10066100
1349374399,10091200
1349684066,10116650
1349967054,10141200
1350262951,10165450
1350550272,10190550
1350825110,10215250
1351103697,10239750
1351387267,10265850
1351665212,10290700
1351972049,10315750
1352271639,10341600
1352546967,10366350
1352843377,10390600
1353146198,10415150
1353444246,10440250
1353724045,10464600
1353996376,10488900
1354269211,10506800
1354556729,10519225
1354897363,10531550
1355205923,10543675
1355531863,10555750
1355862876,10567300
1356180372,10578925
1356490024,10590850
1356753524,10602875
1357009928,10614700
1357264525,10626350
1357545450,10638100
1357816648,10649675
1358136636,10661275
1358444053,10672925
1358746536,10684725
1359035819,10696350
1359316007,10708125
1359583533,10719950
1359829043,10731850
1360062830,10743600
1360334013,10755400
1360596464,10767150
1360861044,10778825
1361081325,10790375
1361321626,10802000
1361542517,10813525
1361779779,10825075
1361996882,10836600
1362243987,10848025
1362496674,10859650
1362748459,10871025
1362975419,10882475
1363235627,10893950
1363461330,10905475
1363667730,10917000
1363864213,10928425
1364045914,10939950
1364269909,10951350
1364522540,10962675
1364757040,10974050
1364963634,10985550
1365209250,10997025
1365448228,11008300
1365669552,11019675
1365907460,11030900
1366142797,11042300
1366399794,11053725
1366647574,11065075
1366888672,11076425
1367122163,11087700
